Geração,Iteração,Fitness
31,18,17.9061,duplicate,
31,19,17.9061,duplicate,
31,20,17.9061,duplicate,
31,21,17.9061,duplicate,
31,22,17.9061,duplicate,
31,23,30.979,duplicate,
31,24,45.7268
31,25,74.5832
31,26,61.6721
31,27,71.1684
31,28,46.2324
31,29,62.0916
31,30,17.8102
31,31,123.111
32,0,17.8102
32,1,4.1541


Generation: 32
Estrutura final encontrada, com diferença de volume = 4.1541
Resultados gravados com sucesso no arquivo 'resultados.txt'.
Tempo de execucao: 182 minutos
